model_type,trial_id,val_loss,val_accuracy,accuracy,composite_score,num_conv1d_layers,filters,kernel_size,padding,activation,kernel_initializer,add_pooling_0,pool_size,strides,num_dense_layers,units,bias_initializer,dropout_rate,learning_rate,focal_gamma,focal_alpha,add_pooling_1,add_pooling_2
buy_trials_Conv1D,044,17.447729110717773,0.9950390458106995,0.9949804544448853,1.4736935603618622,2,64,3,same,relu,glorot_normal,True,3,1,2,64,glorot_normal,0.30000000000000004,0.0017259745092203106,1.5,0.6,True,True
buy_trials_Conv1D,045,14.346841812133789,0.9950390458106995,0.9950390458106995,1.4869053921699524,2,32,3,same,gelu,glorot_normal,True,3,2,1,128,zeros,0.2,0.008453355630521282,2.0,0.6,False,True
buy_trials_Conv1D,046,41.444664001464844,0.9950390458106995,0.9948828220367432,1.4489434909820558,2,96,3,same,gelu,he_normal,False,2,1,1,96,zeros,0.30000000000000004,0.0010153958908885,2.5,0.2,True,False
buy_trials_Conv1D,047,18.549911499023438,0.9950390458106995,0.8747265338897705,1.4826154189109801,3,96,7,valid,gelu,glorot_normal,False,2,1,2,32,he_normal,0.2,0.0010176040617332672,2.0,0.6,False,False
buy_trials_Conv1D,048,78.9991226196289,0.9950390458106995,0.9902929663658142,1.4303203020095825,2,128,7,same,gelu,glorot_normal,True,3,1,2,96,zeros,0.4,0.0008213805680931154,2.0,0.1,False,False
buy_trials_Conv1D,049,49.1874885559082,0.9950390458106995,0.97802734375,1.4316577541828155,3,128,7,valid,gelu,he_normal,False,3,2,2,96,glorot_normal,0.2,0.00024359196179105856,3.0,0.8,True,True
buy_trials_Conv1D,050,26.329782485961914,0.9950390458106995,0.9950000047683716,1.465960177898407,2,128,3,valid,relu,he_normal,False,2,2,2,32,glorot_normal,0.1,0.0002500476093354716,2.0,0.4,False,True
buy_trials_Conv1D,051,50.662994384765625,0.9375,0.6801953315734863,1.3751408457756042,1,32,3,valid,gelu,glorot_normal,False,2,1,2,64,he_normal,0.5,0.00028839092033162804,1.0,0.9,True,False
buy_trials_Conv1D,052,8.995274543762207,0.9950390458106995,0.9951367378234863,1.487064441204071,3,64,7,same,gelu,glorot_normal,True,3,2,1,64,he_normal,0.30000000000000004,0.002117796522475039,2.5,0.30000000000000004,False,True
buy_trials_Conv1D,053,3.6557769775390625,0.9950390458106995,0.9950390458106995,1.491245880126953,3,128,7,same,gelu,glorot_normal,True,2,2,1,32,he_normal,0.4,0.003920143237423156,2.0,0.5,False,False
buy_trials_Conv1D,054,1.4649672508239746,0.9950390458106995,0.9950585961341858,1.4935740785598755,3,64,5,same,relu,glorot_normal,False,3,2,1,32,zeros,0.30000000000000004,0.01,1.5,0.5,False,True
buy_trials_Conv1D,055,1.6251307725906372,0.9950390458106995,0.994921863079071,1.4933942753076552,3,64,5,valid,relu,he_normal,True,2,2,1,32,he_normal,0.2,0.01,1.5,0.4,True,False
buy_trials_Conv1D,056,1.7772961854934692,0.9950390458106995,0.9950390458106995,1.493261749625206,2,32,7,valid,relu,glorot_normal,True,2,1,1,32,glorot_normal,0.4,0.01,3.0,0.5,False,True
buy_trials_Conv1D,057,1.4933913946151733,0.9950390458106995,0.9949609637260437,1.4935653239488602,3,64,3,same,relu,glorot_normal,True,3,2,1,32,he_normal,0.2,0.01,3.0,0.8,True,True
buy_trials_Conv1D,058,2.0410006046295166,0.9950390458106995,0.9949414134025574,1.49299804520607,3,128,5,same,relu,glorot_normal,False,2,1,1,32,he_normal,0.30000000000000004,0.01,1.0,0.5,True,True
buy_trials_Conv1D,059,2.0892112255096436,0.9950390458106995,0.9948046803474426,1.493008723974228,1,32,7,same,relu,glorot_normal,True,3,2,1,32,zeros,0.30000000000000004,0.01,3.0,0.2,True,True
buy_trials_Conv1D,060,6.774685859680176,0.9950390458106995,0.994921863079071,1.4884803075790405,3,64,3,same,relu,he_normal,False,3,2,1,32,zeros,0.1,0.0009260625205469972,1.0,0.9,True,False
buy_trials_Conv1D,061,2.1387991905212402,0.9950390458106995,0.9949414134025574,1.4929002466201782,3,32,7,same,gelu,glorot_normal,True,2,2,1,32,glorot_normal,0.1,0.01,2.0,0.7000000000000001,False,False
buy_trials_Conv1D,062,3.0232174396514893,0.9950390458106995,0.9949804544448853,1.492015828371048,3,128,3,valid,relu,glorot_normal,False,2,2,2,32,glorot_normal,0.30000000000000004,0.01,1.0,0.9,False,False
buy_trials_Conv1D,063,1.5314116477966309,0.9950390458106995,0.9950390458106995,1.4935076341629028,3,32,7,same,relu,glorot_normal,False,2,2,1,32,he_normal,0.5,0.01,2.0,0.1,False,True
buy_trials_Conv1D,064,2.524904251098633,0.9950390458106995,0.9951367378234863,1.4925141415596008,3,96,3,same,relu,glorot_normal,False,3,1,1,32,zeros,0.1,0.01,2.5,0.9,True,False
buy_trials_Conv1D,065,1.393507480621338,0.9950390458106995,0.9950390458106995,1.5046943917274476,3,32,7,valid,gelu,he_normal,True,3,2,1,32,glorot_normal,0.5,0.01,2.5,0.8,True,True
buy_trials_Conv1D,066,3.004925489425659,0.9950390458106995,0.9948046803474426,1.4920341203212737,3,128,7,valid,relu,he_normal,False,3,1,1,32,he_normal,0.30000000000000004,0.01,2.0,0.7000000000000001,False,False
buy_trials_Conv1D,067,2.4826433658599854,0.9950390458106995,0.9950000047683716,1.4925564024448394,2,32,3,same,relu,glorot_normal,True,3,2,2,32,zeros,0.5,0.01,2.5,0.9,False,True
buy_trials_Conv1D,068,1.8061314821243286,0.9950390458106995,0.9949804544448853,1.4932721341848374,3,32,7,valid,relu,he_normal,True,3,1,1,32,he_normal,0.1,0.01,3.0,0.1,True,True
buy_trials_Conv1D,069,1.6850037574768066,0.9950390458106995,0.9949023723602295,1.4933540420532228,3,128,7,valid,relu,glorot_normal,True,2,2,1,32,he_normal,0.5,0.01,1.0,0.5,False,True
buy_trials_Conv1D,070,2.6332733631134033,0.9950390458106995,0.9949023723602295,1.492405772447586,3,128,3,same,relu,glorot_normal,False,3,2,2,32,zeros,0.1,0.01,1.0,0.4,True,True
buy_trials_Conv1D,071,3.2742950916290283,0.9950390458106995,0.9951367378234863,1.4917058613300322,3,32,7,valid,relu,glorot_normal,True,3,2,1,32,he_normal,0.30000000000000004,0.0013241134611585413,2.5,0.7000000000000001,False,False
buy_trials_Conv1D,072,1.9300603866577148,0.9950390458106995,0.994921863079071,1.4931089854240418,3,32,3,same,gelu,glorot_normal,True,2,2,1,32,zeros,0.5,0.01,2.0,0.9,True,True
buy_trials_Conv1D,073,2.680161714553833,0.9950390458106995,0.9950000047683716,1.4923588840961457,3,128,7,same,relu,glorot_normal,False,2,2,1,32,he_normal,0.1,0.009547962187354937,1.0,0.6,False,False
