model_type,trial_id,val_loss,val_accuracy,accuracy,composite_score,num_conv_layers,filters,kernel_size,padding,activation,kernel_initializer,pool_size,strides,num_lstm_layers,units_first,forget_bias,dropout,recurrent_dropout,num_dense_layers,units,bias_initializer,dropout_rate,learning_rate,focal_gamma,focal_alpha
buy_trials_Conv1D_LSTM,014,259.4427185058594,0.9950390458106995,0.9950195550918579,1.23559632730484,3,96,5,valid,relu,he_normal,3,2,3,128,False,0.35000000000000003,0.45,1,32,zeros,0.1,0.0001916346897390569,1.5,0.6
buy_trials_Conv1D_LSTM,015,694.627197265625,0.9950390458106995,0.9947070479393005,0.8004118485450744,1,32,5,valid,gelu,glorot_normal,3,1,3,128,True,0.2,0.25,1,96,zeros,0.4,0.00015349183148720766,3.0,0.9
buy_trials_Conv1D_LSTM,016,44.6497688293457,0.9950390458106995,0.9949023723602295,1.4503892769813538,3,128,7,valid,relu,glorot_normal,3,2,1,64,False,0.2,0.25,1,96,zeros,0.1,0.0001154562309653233,3.0,0.5
buy_trials_Conv1D_LSTM,017,161.60289001464844,0.9950390458106995,0.6314648389816284,1.333436155796051,1,96,5,valid,gelu,glorot_normal,3,2,2,64,True,0.30000000000000004,0.45,1,32,zeros,0.5,0.00011761309742767026,1.5,0.5
buy_trials_Conv1D_LSTM,018,20.100820541381836,0.9950390458106995,0.9952539205551147,1.4749382252693177,3,32,3,same,relu,he_normal,3,2,1,32,False,0.4,0.30000000000000004,2,64,he_normal,0.2,0.001772507252479043,1.0,0.6
buy_trials_Conv1D_LSTM,019,87.31704711914062,0.9950390458106995,0.9880664348602295,1.4077219986915588,2,64,5,same,relu,glorot_normal,2,2,1,128,True,0.25,0.30000000000000004,2,64,glorot_normal,0.2,0.000642144054857491,1.0,0.2
buy_trials_Conv1D_LSTM,020,15.107443809509277,0.9950390458106995,0.9949804544448853,1.4799316020011901,2,128,3,valid,gelu,glorot_normal,2,1,1,32,False,0.25,0.25,2,96,he_normal,0.1,0.00829014608439077,1.5,0.7000000000000001
buy_trials_Conv1D_LSTM,021,28.056137084960938,0.9950390458106995,0.9949609637260437,1.4669829087257384,2,32,3,same,gelu,glorot_normal,3,1,1,128,True,0.30000000000000004,0.2,2,64,glorot_normal,0.5,0.006838349735093645,1.5,0.7000000000000001
buy_trials_Conv1D_LSTM,022,119.35490417480469,0.9950390458106995,0.9950390458106995,1.3756841416358947,2,96,5,same,relu,he_normal,2,2,3,64,True,0.45,0.35000000000000003,2,96,zeros,0.30000000000000004,0.0001688225189917974,2.5,0.6
buy_trials_Conv1D_LSTM,023,39.65766525268555,0.9950390458106995,0.9950781464576721,1.455381380558014,2,32,5,same,gelu,glorot_normal,3,2,3,32,False,0.2,0.30000000000000004,1,128,he_normal,0.5,0.0016102851161552349,3.0,0.1
buy_trials_Conv1D_LSTM,024,313.67218017578125,0.9950390458106995,0.9949023723602295,1.181366865634918,1,128,3,valid,gelu,he_normal,3,2,3,128,False,0.30000000000000004,0.30000000000000004,1,96,he_normal,0.2,0.0003918641276645972,2.5,0.4
