model_type,trial_id,val_loss,val_accuracy,accuracy,composite_score,num_conv_layers,filters,kernel_size,padding,activation,kernel_initializer,pool_size,strides,num_lstm_layers,units_first,forget_bias,dropout,recurrent_dropout,num_dense_layers,units,bias_initializer,dropout_rate,learning_rate,focal_gamma,focal_alpha
buy_trials_Conv1D_LSTM,000,104.99469757080078,0.9950390458106995,0.9705859422683716,1.3900443482398988,2,32,5,same,gelu,glorot_normal,3,1,2,32,True,0.35000000000000003,0.45,1,128,zeros,0.30000000000000004,0.00028078309037793175,1.5,0.5
buy_trials_Conv1D_LSTM,001,113.61528015136719,0.9950390458106995,0.932421863079071,1.3814237656593322,3,64,5,same,relu,glorot_normal,3,2,3,64,False,0.25,0.45,1,64,he_normal,0.5,0.00019528654576328537,1.5,0.5
buy_trials_Conv1D_LSTM,002,39.70844650268555,0.9950390458106995,0.9948828220367432,1.4447498211860657,1,64,7,same,gelu,glorot_normal,2,1,1,32,False,0.45,0.35000000000000003,2,64,zeros,0.2,0.0006426228293037218,1.0,0.6
buy_trials_Conv1D_LSTM,003,105.01932525634766,0.9950390458106995,0.9950976371765137,1.3900197205543519,1,128,7,valid,gelu,glorot_normal,2,1,3,128,False,0.2,0.25,2,128,zeros,0.4,0.0071223894490449685,2.0,0.1
buy_trials_Conv1D_LSTM,004,138.6862335205078,0.9950390458106995,0.6994531154632568,1.3563528122901916,2,32,7,valid,gelu,glorot_normal,3,2,2,64,False,0.30000000000000004,0.30000000000000004,2,96,zeros,0.1,0.000100697884207127,2.5,0.5
buy_trials_Conv1D_LSTM,005,6977.71630859375,0.9898828268051147,0.5752929449081421,-5.486728232860565,2,128,5,valid,relu,he_normal,2,1,3,96,True,0.45,0.25,2,64,glorot_normal,0.4,0.000615233199987207,1.0,0.5
buy_trials_Conv1D_LSTM,006,108.40495300292969,0.9950390458106995,0.9949804544448853,1.3866340928077698,1,96,3,same,relu,glorot_normal,3,1,3,128,False,0.25,0.4,1,32,he_normal,0.5,0.006353350532750873,1.0,0.6
buy_trials_Conv1D_LSTM,007,100.49089813232422,0.9950390458106995,0.9949414134025574,1.4014574584960937,2,32,3,valid,relu,glorot_normal,3,1,1,128,False,0.35000000000000003,0.4,2,96,glorot_normal,0.1,0.0004880806205593252,1.0,0.1
buy_trials_Conv1D_LSTM,008,73.76022338867188,0.9950390458106995,0.9950976371765137,1.4212788224220276,3,32,5,same,relu,he_normal,2,2,2,96,False,0.2,0.35000000000000003,1,128,he_normal,0.2,0.002491419010534623,2.5,0.30000000000000004
buy_trials_Conv1D_LSTM,009,272.9967956542969,0.9950390458106995,0.7957617044448853,1.2220422501564026,3,64,3,valid,relu,glorot_normal,3,2,3,128,False,0.4,0.30000000000000004,1,96,glorot_normal,0.4,0.00017275684705076117,3.0,0.7000000000000001
buy_trials_Conv1D_LSTM,010,157.8106689453125,0.9950390458106995,0.9942773580551147,1.3410981488227844,2,128,7,same,gelu,glorot_normal,3,1,2,64,True,0.35000000000000003,0.30000000000000004,1,64,zeros,0.4,0.00011998472287810798,1.5,0.4
buy_trials_Conv1D_LSTM,011,164.5831298828125,0.9950390458106995,0.9595702886581421,1.330455915927887,1,96,5,valid,gelu,glorot_normal,3,1,3,64,True,0.25,0.2,2,64,he_normal,0.5,0.0006620419808746878,1.5,0.1
buy_trials_Conv1D_LSTM,012,121.49447631835938,0.9950390458106995,0.9904101490974426,1.37354456949234,3,96,3,valid,relu,he_normal,3,2,2,96,True,0.30000000000000004,0.25,2,32,glorot_normal,0.2,0.0005347601471523541,2.0,0.4
buy_trials_Conv1D_LSTM,013,56324.80859375,0.8013281226158142,0.8391211032867432,-55.024713542222976,3,32,3,same,relu,he_normal,2,1,2,128,True,0.35000000000000003,0.25,1,32,glorot_normal,0.4,0.00022692088176343598,2.0,0.30000000000000004
