confluence_score_loss,confluence_score_mae,confluence_score_mse,directional_bias_loss,directional_bias_mae,directional_bias_mse,loss,val_confluence_score_loss,val_confluence_score_mae,val_confluence_score_mse,val_directional_bias_loss,val_directional_bias_mae,val_directional_bias_mse,val_loss,learning_rate
0.0763888880610466,0.25,0.0763888880610466,0.0005174694233573973,0.020786382257938385,0.0005174694233573973,0.07680286467075348,0.24975009262561798,0.4997500479221344,0.24975009262561798,0.0009063443867489696,0.02922738529741764,0.0009063443867489696,0.2504751682281494,0.0010000000474974513
0.07629173249006271,0.249833345413208,0.07629173249006271,0.0005013550980947912,0.020342042669653893,0.0005013550980947912,0.07669281959533691,0.2495003044605255,0.499500036239624,0.2495003044605255,0.0008491906337440014,0.028232717886567116,0.0008491906337440014,0.250179648399353,0.0010000000474974513
0.07619470357894897,0.24966669082641602,0.07619470357894897,0.00048730673734098673,0.019899968057870865,0.00048730673734098673,0.07658454775810242,0.2492506206035614,0.49925002455711365,0.2492506206035614,0.0007945431279949844,0.027247730642557144,0.0007945431279949844,0.24988624453544617,0.0010000000474974513
0.07609780877828598,0.24950003623962402,0.07609780877828598,0.0004753449757117778,0.01946219429373741,0.0004753449757117778,0.07647808641195297,0.24900107085704803,0.49900007247924805,0.24900107085704803,0.000742641685064882,0.026278074830770493,0.000742641685064882,0.24959519505500793,0.0010000000474974513
0.07600102573633194,0.24933338165283203,0.07600102573633194,0.0004654648364521563,0.019031237810850143,0.0004654648364521563,0.0763733983039856,0.2487517148256302,0.49875015020370483,0.2487517148256302,0.0006937439320608974,0.02533060684800148,0.0006937439320608974,0.24930670857429504,0.0010000000474974513
0.07590439915657043,0.24916678667068481,0.07590439915657043,0.000457627116702497,0.018622461706399918,0.000457627116702497,0.07627049833536148,0.24850258231163025,0.49850034713745117,0.24850258231163025,0.0006481233867816627,0.02441350184381008,0.0006481233867816627,0.24902108311653137,0.0010000000474974513
0.07580794394016266,0.24900023639202118,0.07580794394016266,0.00045175052946433425,0.018316758796572685,0.00045175052946433425,0.07616934180259705,0.2482534945011139,0.49825042486190796,0.2482534945011139,0.0006060625892132521,0.02353631891310215,0.0006060625892132521,0.2487383335828781,0.0010000000474974513
0.07571156322956085,0.24883362650871277,0.07571156322956085,0.0004477037291508168,0.018024364486336708,0.0004477037291508168,0.07606972754001617,0.24800463020801544,0.4980006217956543,0.24800463020801544,0.0005678393063135445,0.02270979806780815,0.0005678393063135445,0.24845890700817108,0.0010000000474974513
0.07561534643173218,0.24866707623004913,0.07561534643173218,0.0004452987923286855,0.017748858779668808,0.0004452987923286855,0.0759715884923935,0.24775592982769012,0.497750848531723,0.24775592982769012,0.0005337080219760537,0.021945470944046974,0.0005337080219760537,0.24818289279937744,0.0010000000474974513
0.07551929354667664,0.24850058555603027,0.07551929354667664,0.0004442907520569861,0.0174940824508667,0.0004442907520569861,0.07587472349405289,0.24750737845897675,0.4975011348724365,0.24750737845897675,0.0005038768285885453,0.02125493995845318,0.0005038768285885453,0.24791046977043152,0.0010000000474974513
0.07542335242033005,0.2483340948820114,0.07542335242033005,0.0004443846410140395,0.01730351150035858,0.0004443846410140395,0.07577885687351227,0.24725906550884247,0.4972515106201172,0.24725906550884247,0.00047848239773884416,0.02064892277121544,0.00047848239773884416,0.24764184653759003,0.0010000000474974513
0.07532759010791779,0.24816767871379852,0.07532759010791779,0.00044525275006890297,0.017168838530778885,0.00044525275006890297,0.07568379491567612,0.24701087176799774,0.49700188636779785,0.24701087176799774,0.0004575696657411754,0.020136170089244843,0.0004575696657411754,0.247376948595047,0.0010000000474974513
0.07523194700479507,0.24800126254558563,0.07523194700479507,0.00044656090904027224,0.01705489307641983,0.00044656090904027224,0.07558919489383698,0.2467629462480545,0.4967523515224457,0.2467629462480545,0.0004410826659295708,0.019722532480955124,0.0004410826659295708,0.24711580574512482,0.0010000000474974513
