model_type,trial_id,val_loss,val_accuracy,accuracy,composite_score,num_conv_layers,filters,kernel_size,padding,activation,kernel_initializer,pool_size,strides,num_lstm_layers,units_first,forget_bias,dropout,recurrent_dropout,num_dense_layers,units,bias_initializer,dropout_rate,learning_rate,focal_gamma,focal_alpha
sell_trials_Conv1D_LSTM,28,8613.0400390625,0.1368750035762787,0.24988281726837158,-7.94925175023079,2,32,3,same,gelu,he_normal,2,2,2,96,True,0.25,0.25,1,32,he_normal,0.30000000000000004,0.0010413788678113095,1.5,0.30000000000000004
sell_trials_Conv1D_LSTM,30,604.5965576171875,0.42085936665534973,0.813281238079071,0.3517998135089875,2,96,5,same,gelu,he_normal,3,1,1,32,False,0.4,0.35000000000000003,2,96,glorot_normal,0.1,0.0028168240891253142,1.0,0.9
sell_trials_Conv1D_LSTM,31,1539970944.0,0.9950781464576721,0.9943749904632568,-1539969.4489218534,2,128,7,valid,relu,glorot_normal,2,1,2,128,False,0.35000000000000003,0.30000000000000004,1,32,glorot_normal,0.1,0.006756163745376442,2.5,0.4
sell_trials_Conv1D_LSTM,32,75.3237533569336,0.9950781464576721,0.7818359136581421,1.4139432978630067,2,64,5,same,gelu,glorot_normal,3,2,1,96,True,0.30000000000000004,0.4,1,32,zeros,0.5,0.0005420766784463195,1.0,0.7000000000000001
sell_trials_Conv1D_LSTM,33,149.9951629638672,0.004921874962747097,0.2547656297683716,0.35492671199887993,3,32,7,valid,gelu,glorot_normal,2,2,2,96,False,0.30000000000000004,0.4,2,32,zeros,0.2,0.0003570998050601327,2.5,0.2
sell_trials_Conv1D_LSTM,34,29864.099609375,0.2096875011920929,0.44078123569488525,-29.156879561662674,2,96,7,same,relu,he_normal,3,2,1,96,True,0.30000000000000004,0.4,1,64,zeros,0.5,0.0002452623218992339,2.0,0.2
sell_trials_Conv1D_LSTM,35,161.8861846923828,0.0062500000931322575,0.19687500596046448,0.31696707687154413,2,96,3,same,relu,glorot_normal,2,2,1,128,True,0.4,0.25,2,64,glorot_normal,0.2,0.00013125030310243128,1.0,0.30000000000000004
sell_trials_Conv1D_LSTM,37,46451077120.0,0.9737499952316284,0.5854296684265137,-46451075.66177841,3,96,5,valid,gelu,glorot_normal,3,1,2,96,True,0.4,0.25,1,96,he_normal,0.30000000000000004,0.005594661103196281,2.5,0.1
sell_trials_Conv1D_LSTM,38,876.024169921875,0.9950781464576721,0.7837890386581421,0.6190539765357971,2,32,5,same,gelu,glorot_normal,2,1,3,32,False,0.45,0.35000000000000003,2,32,zeros,0.30000000000000004,0.0005342767472521939,1.5,0.6
sell_trials_Conv1D_LSTM,39,37.932037353515625,0.9950781464576721,0.9894921779632568,1.4509736309051513,3,64,5,same,gelu,glorot_normal,2,1,1,32,True,0.35000000000000003,0.25,2,64,glorot_normal,0.30000000000000004,0.0017259745092203106,1.5,0.6
sell_trials_Conv1D_LSTM,41,387987.4375,0.7152343988418579,0.4204687476158142,-386.8143867685795,2,96,3,same,gelu,he_normal,2,1,1,64,True,0.2,0.35000000000000003,2,96,zeros,0.5,0.00014304873855982043,3.0,0.7000000000000001
sell_trials_Conv1D_LSTM,42,50.5887565612793,0.9950781464576721,0.9955859184265137,1.4444893898963929,3,96,7,same,relu,glorot_normal,2,2,1,128,False,0.35000000000000003,0.30000000000000004,2,32,zeros,0.30000000000000004,0.004179706358511756,3.0,0.4
sell_trials_Conv1D_LSTM,43,451253440.0,0.7596094012260437,0.7421484589576721,-451252.1864378476,3,32,7,valid,relu,he_normal,3,1,2,64,True,0.2,0.2,1,96,he_normal,0.5,0.002262219170980031,2.5,0.9
sell_trials_Conv1D_LSTM,44,147945324544.0,0.9842187762260437,0.9766406416893005,-147945323.06252915,1,128,5,valid,gelu,he_normal,2,1,3,128,True,0.35000000000000003,0.30000000000000004,2,32,glorot_normal,0.30000000000000004,0.006842832745603744,1.5,0.4
sell_trials_Conv1D_LSTM,45,118.93509674072266,0.9950781464576721,0.994921863079071,1.3761430497169496,3,96,3,same,relu,glorot_normal,3,1,1,128,False,0.2,0.25,2,96,glorot_normal,0.2,0.0008905259819768822,1.5,0.6
sell_trials_Conv1D_LSTM,46,723651136.0,0.2192968726158142,0.4214453101158142,-723650.40922644,1,128,7,same,relu,he_normal,3,1,3,64,True,0.2,0.45,1,128,glorot_normal,0.5,0.0008635595838211174,2.0,0.9
sell_trials_Conv1D_LSTM,47,22082.626953125,0.9950000047683716,0.9248437285423279,-20.642270877361298,2,96,7,same,relu,he_normal,3,2,3,32,True,0.2,0.45,1,128,glorot_normal,0.1,0.0036533709397454893,2.5,0.8
sell_trials_Conv1D_LSTM,48,35523006464.0,0.7208593487739563,0.7034765481948853,-35523005.26288997,2,64,5,same,relu,he_normal,3,1,3,64,False,0.45,0.35000000000000003,1,64,glorot_normal,0.2,0.00011709124137255059,1.0,0.5
sell_trials_Conv1D_LSTM,49,5135.5693359375,0.9950781464576721,0.8567968606948853,-3.640491189479828,1,64,7,same,relu,glorot_normal,2,2,3,96,False,0.45,0.4,2,64,zeros,0.1,0.002248334710665683,1.5,0.4
