model_type,trial_id,val_loss,val_accuracy,accuracy,composite_score,num_conv1d_layers,filters,kernel_size,padding,activation,kernel_initializer,add_pooling_0,pool_size,strides,num_dense_layers,units,bias_initializer,dropout_rate,learning_rate,focal_gamma,focal_alpha,add_pooling_1,add_pooling_2
sell_trials_Conv1D,000,89.89391326904297,0.6059374809265137,0.5816406011581421,0.972335958480835,2,32,5,same,gelu,glorot_normal,True,2,1,1,128,glorot_normal,0.5,0.00015159319577885927,3.0,0.1,True,
sell_trials_Conv1D,001,53.84660720825195,0.7404687404632568,0.6632031202316284,1.2093179726600647,2,32,3,same,gelu,glorot_normal,False,2,1,1,96,he_normal,0.5,0.00044412650444693207,1.0,0.30000000000000004,True,
sell_trials_Conv1D,002,28.39859390258789,0.0053125000558793545,0.004765625111758709,0.46188632350787523,2,64,7,valid,relu,glorot_normal,True,2,1,2,32,he_normal,0.1,0.0006237028864858578,1.0,0.2,False,
sell_trials_Conv1D,003,11.492087364196777,0.9946874976158142,0.9949609637260437,1.4831954102516174,2,128,5,valid,relu,glorot_normal,False,2,1,2,32,he_normal,0.5,0.005704251931830293,2.5,0.30000000000000004,False,
sell_trials_Conv1D,004,103.67257690429688,0.9946874976158142,0.9950000047683716,1.3911720385551454,1,128,7,same,relu,glorot_normal,True,3,1,2,128,glorot_normal,0.1,0.001047217795168058,1.0,0.9,True,
sell_trials_Conv1D,005,97.53982543945312,0.29499998688697815,0.2948046922683716,0.6388843822479248,2,32,7,valid,gelu,glorot_normal,False,2,1,2,96,zeros,0.1,0.000100697884207127,2.5,0.5,True,
sell_trials_Conv1D,006,69.43928527832031,0.9946874976158142,0.9951171875,1.4101253516674042,3,64,7,same,gelu,glorot_normal,False,3,2,2,128,zeros,0.30000000000000004,0.0009452767099282696,2.5,0.7000000000000001,False,True
sell_trials_Conv1D,007,85.07168579101562,0.9939062595367432,0.9945312738418579,1.4096199841499328,1,96,3,valid,relu,glorot_normal,False,2,2,1,128,he_normal,0.2,0.00044489082371598814,3.0,0.4,False,True
sell_trials_Conv1D,008,35.680274963378906,0.9946874976158142,0.9947656393051147,1.4590072226524353,3,128,3,valid,relu,glorot_normal,False,3,1,1,128,glorot_normal,0.1,0.003298757461307946,1.5,0.6,True,True
sell_trials_Conv1D,009,13.07895278930664,0.9946874976158142,0.994921863079071,1.4816085448265075,2,96,3,same,relu,glorot_normal,True,2,1,1,32,glorot_normal,0.2,0.001300398010371077,1.5,0.6,False,False
sell_trials_Conv1D,010,6.791522979736328,0.9946874976158142,0.9950000047683716,1.4878174157142638,2,32,7,valid,relu,he_normal,True,2,2,1,32,he_normal,0.30000000000000004,0.000628226540956973,3.0,0.5,True,True
sell_trials_Conv1D,011,60.92426300048828,0.5256249904632568,0.4595312476158142,0.9617397475242615,1,96,5,same,gelu,he_normal,True,2,2,2,64,he_normal,0.5,0.00017850071151495693,3.0,0.5,True,False
sell_trials_Conv1D,012,6.150758743286133,0.9946874976158142,0.9950390458106995,1.488693856716156,2,64,7,valid,relu,glorot_normal,False,2,2,1,32,glorot_normal,0.2,0.003049541549141375,2.5,0.8,True,False
