model_type,trial_id,val_loss,val_accuracy,accuracy,composite_score,num_conv_layers,filters,kernel_size,padding,activation,kernel_initializer,pool_size,strides,num_lstm_layers,units_first,forget_bias,dropout,recurrent_dropout,num_dense_layers,units,bias_initializer,dropout_rate,learning_rate,focal_gamma,focal_alpha
sell_trials_Conv1D_LSTM,000,995.54248046875,0.9861719012260437,0.5676953196525574,0.5000695447921752,2,32,5,same,gelu,glorot_normal,3,1,2,32,True,0.35000000000000003,0.45,1,128,zeros,0.30000000000000004,0.00028078309037793175,1.5,0.5
sell_trials_Conv1D_LSTM,001,119.5068359375,0.9946874976158142,0.5251171588897705,1.3751806616783142,3,64,5,same,relu,glorot_normal,3,2,3,64,False,0.25,0.45,1,64,he_normal,0.5,0.00019528654576328537,1.5,0.5
sell_trials_Conv1D_LSTM,002,51.313907623291016,0.9946874976158142,0.9926562309265137,1.5154441885948182,1,64,7,same,gelu,glorot_normal,2,1,1,32,False,0.45,0.35000000000000003,2,64,zeros,0.2,0.0006426228293037218,1.0,0.6
sell_trials_Conv1D_LSTM,003,152.927490234375,0.9946874976158142,0.9951953291893005,1.3417600073814393,1,128,7,valid,gelu,glorot_normal,2,1,3,128,False,0.2,0.25,2,128,zeros,0.4,0.0071223894490449685,2.0,0.1
sell_trials_Conv1D_LSTM,004,198.52484130859375,0.9946874976158142,0.5717187523841858,1.2964768323898315,2,32,7,valid,gelu,glorot_normal,3,2,2,64,False,0.30000000000000004,0.30000000000000004,2,96,zeros,0.1,0.000100697884207127,2.5,0.5
sell_trials_Conv1D_LSTM,005,12521527.0,0.9883593916893005,0.9316796660423279,-12520.048713107824,2,128,5,valid,relu,he_normal,2,1,3,96,True,0.45,0.25,2,64,glorot_normal,0.4,0.000615233199987207,1.0,0.5
sell_trials_Conv1D_LSTM,006,163.0703125,0.9946874976158142,0.9950390458106995,1.3316171851158143,1,96,3,same,relu,glorot_normal,3,1,3,128,False,0.25,0.4,1,32,he_normal,0.5,0.006353350532750873,1.0,0.6
sell_trials_Conv1D_LSTM,008,97.39091491699219,0.9946874976158142,0.9951953291893005,1.397296582698822,3,32,5,same,relu,he_normal,2,2,2,96,False,0.2,0.35000000000000003,1,128,he_normal,0.2,0.002491419010534623,2.5,0.30000000000000004
sell_trials_Conv1D_LSTM,009,286.6769714355469,0.0053125000558793545,0.17347656190395355,0.21863552862033248,3,64,3,valid,relu,glorot_normal,3,2,3,128,False,0.4,0.30000000000000004,1,96,glorot_normal,0.4,0.00017275684705076117,3.0,0.7000000000000001
sell_trials_Conv1D_LSTM,010,297.9803466796875,0.9946874976158142,0.5462109446525574,1.1965107834339141,2,128,7,same,gelu,glorot_normal,3,1,2,64,True,0.35000000000000003,0.30000000000000004,1,64,zeros,0.4,0.00011998472287810798,1.5,0.4
